Company Name,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Year Founded,Country,Maturity
Concrete Sensors,https://concretesensors.com,Sensors for moisture and humidity monitoring in concrete,Series A,"5,638,441",Connected Buildings,2015,USA,Emerging
CACH,https://cach-inc.com,IoT solution for structural health monitoring,Unfunded,,Asset Health & Optimization ,2016,Japan,Distant
Trove,https://trovedata.com,"Trove translates data generated from clients – electric & gas utilities, financial services firms, and other data-intensive industries into actionable insights through a cloud-based Platform-as-a-Service (PaaS) solution. Their platform delivers solutions to partners in the form of demand forecasting, program optimization, fraud identification, and customer segmentation",Acquired,"2,000,000",Data Aggregation & Analytics,2015,USA,Emerging
Cool Planet,https://coolplanet.com,"Cool Planet a technology company harnesses a thermo-mechanical process and proprietary catalysts to turn biomass into green fuels and biochar. The process allows to create green gasoline from non-food sources that capture carbon from the air, and a biocarbon product that sequesters the carbon left over – unlocking the capability for a carbon negative lifecycle. In addition to the fuel, the Cool Planet process creates a solid, inert biocarbon, known as CoolTerra. CoolTerra stood as winner of a 2015 Edison Award for innovation in agriculture, has many potential uses; one of which is as an organic soil enhancer that dramatically increases the retention of water and other nutrients.",Series E,"190,299,999",Decarbonization,2009,USA,Distant
Slock.it,https://slock.it,"Slock.it uses Ethereum light nodes and embeds them in connected cars, homes, shared white goods, etc. to evolve a Sharing Economy infrastructure by enabling anyone to rent, sell or share their property without a middleman. The company has tied up with German power company RWE to build the infrastructure for the network of electric car charging stations enabling automated user authentication and billing. The Proof of Concept would operate on the Ethereum blockchain, with the charging station acting as a point at which both customer authentication and the processing of payments takes place",Seed,"2,000,000",Decentralized Energy,2015,Germany,Distant
Redback Technologies,https://redbacktech.com,Redback Technologies manufactures Smart Hybrid systems of solar power packs which helps the user go completely off-grid and use in-house power for regular use. During day the battery pack is charged using solar and at night it is discharged for home use. The batteries can even be charged from the grid is required and power from the battery can even be discharged/sold to the grid.,Series A,"15,525,850",Decentralized Energy,2015,Australia,Emerging
ME SOLshare,https://me-solshare.com,"ME SOLshare is a designer, manufacturer, and seller of innovative, smart solar meters for Solar Home Systems (SHS) with the goal of improving the technical performance of each system and affordable electricity through a SOLshare microgrid network. The microgrid system so established is to provide the member of the microgrid system a chance to use renewable energy and trade off the excess to areas with a higher demand for energy. It has developed a microgrid in the Shakimali Madborkandi village in Bangladesh which connects owners of solar home systems (SHS) with neighboring households not fitted with their own PV installations.",Series A,"1,660,000",Decentralized Energy,2015,Bangladesh,Distant
Sigora International,https://sigora.co,"Sigora Internationa has developed smart microgrid management system enabled with smart meters for rural households and microgrid areas. It offers proprietary pre-pay enabled smart meters and cloud-based network system which can identify thefts, demand control with secure RF communications. Signora Subsidiary Signora Haiti has developed a smart micro utility system in Haiti to demonstrate their technology.",Seed,"2,649,706",Decentralized Energy,2015,USA,Emerging
Connected Energy,https://c-e-int.com,"Connected Energy provides energy storage system, e-STOR, to companies for managing grid load. The system can store energy from the grid when the grid load is low and electricity is cheaper and supplies power to the site or facility when the electricity is not available on the grid or is available at significantly higher prices. Also, allows facilities to control and tweak the system using control software available with the system.",Series A,"4,053,530",Decentralized Energy,2014,England,Existing
Staq Energy,https://staqenergy.com,"Staq Energy is a stealth mode company which is developing a new battery solution for the purpose of energy storage in stationary applications. According to its website, their focus is on the renewable energy market, where they intend to provide behind-the-meter and grid connected battery storage for ditributed renewable energy projects. Backed by True North Venture Partners.",Series A,"10,000,000",Decentralized Energy,2015,USA,Emerging
Powervault,https://powervault.co.uk,"Powervault builds and manufactures plug and play energy storage device, which lower household electricity This patent-pending product uses an integrated battery and control system to store the free electricity generated from solar panels during the day and then release the stored energy in the evening.",Series A,"6,568,940",Decentralized Energy,2012,England,Emerging
Romeo Power,https://romeopower.com,"Romeo Power is developing a wide range of energy storage systems for multiple use cases, right from immediate emergency power to Electric Vehicles. Their range of products are, Romeo 180, a portable battery system that charges from kinetic, wind and solar energy in a compact unit weighing roughly 5 pounds, the Romeo 1.5k which, at its maximum output, powers a house for more than 24 hours before requiring a recharge. Apart from these two home based units, they also have a 28 kWh system for industrial use and a separate battery system to be used solely for Electric Vehicles. The products are to be released in 2017.",Seed,"30,000,000",Decentralized Energy,2015,USA,Distant
Texzon Technologies,https://vizivtechnologies.com,"Texzon Technologies has developed technologies in the field of electromagnetic wave propagation, power storage, and electricity distribution. Texzon Technologies has developed a system called Ring Power Multiplier (RPM), a patent-pending process and equipment to efficiently launch the Zenneck surface wave. A Zenneck Surface Wave is an electromagnetic wave that uses the surface of the earth as a waveguide enabling it to carry communications signals or electrical power efficiently over long distances. This wireless power system will employ a “transmitter probe,” located near a power generation plant, to launch a Zenneck carrier wave. Receiver antennae will be positioned appropriately around the world to receive the signal and download the power into a local microgrid or conventional grid architecture. The wave is impervious to weather effects such as lightning or geomagnetic disturbance or electromagnetic pulses (EMP), including those associated with a nuclear detonation.",Series B,"39,450,510",Decentralized Energy,2013,USA,Distant
BigchainDB,https://bigchaindb.com,"BigchainDB is a scalable blockchain database for enterprise. It provides a decentralized distributed database to hold transactions, records and digital assets. BigchainDB was developed for non-cryptocurrency use cases where scale and performance is needed allowing enterprises and developers to deploy blockchain applications with a scalable blockchain database.",Series A,"3,370,000",Decentralized Energy,2014,Germany,Distant
VCharge Energy,https://vcharge-energy.com,"VCharge specializes in storing the heat for producing power and using them during peak hours. This storage technique will provide cost saving by not turning on power generation units. They offer VNet, a power management platform that coordinates the activities of distributed transactive load assets, VConsole, a Web-based user interface that offers information and control for end users, utilities, and maintenance personnel, SmartBricks and SmartHydro that are asset controllers for electric thermal storage heating systems to handle loads of electric car charging stations and compressed air systems. They provide demand response solutions by integrating these techniques.",Acquired,"3,820,000",Decentralized Energy,2009,USA,Emerging
24m Technologies,https://24-m.com,"24M has developed a new form of lithium ion battery which they claim to be almost 50% cheaper than conventional lithium ion batteries. The company refers to the battery as a semi-solid lithium ion battery, which is of a completely different design and takes just 15 minutes to be produced (end-to-end cell production) as against 24 hours in case of conventional battery systems. Company is funded by Charles River Ventures and North Bridge Venture Partners among others.",Series B,"71,832,220",Decentralized Energy,2010,USA,Existing
LO3 Energy,https://lo3energy.com,"LO3 Energy is building an ""open-source, cryptographically secure"" blockchain to manage transactions across a microgrid in partnership with Consensus systems. Their project called TransActive Grid, matches households who generate electricity with those who need it, executing sales automatically using smart contracts with little-to-no human involvement. Technology is based on Ethereum-blockchain.",Series A,"5,761,156",Decentralized Energy,2012,USA,Distant
Fenix International,https://fenixintl.com,"Fenix International produces power generation and energy storage solutions. The company produces the ReadySet, a plug-and-play smartbattery that can charge from solar panels, bicycle dynamo, or mains electricity to power lights, mobile phones and other devices. Fenix has customers across multiple emerging markets and core expertise in power electronics, product design and base-of-the-pyramid marketing. The company offers Ready-Pay a platform which allows customers to pay-to-own the Fenix system. This product is made specifically for African market",Acquired,"16,600,000",Decentralized Energy,2009,USA,Existing
Conjoule,https://conjoule.de,"Conjoule has developed P2P energy marketplace powered by blockchain technology to connect private energy producers to local energy consumers of renewable energy, as well as owners of batteries and other sources of flexibility, to transact with each other without the need for intermediaries. It is currently being piloted in two German cities. Incubated at Innogy Innovation Hub. Japan's largest utility TEPCO invested Eur 3M in July11, 2017",Series A,"5,127,800",Decentralized Energy,2017,Germany,Distant
Power Ledger,https://powerledger.io,"Power Ledger uses blockchain technology to provide a transparent, auditable and automated market trading and clearing mechanism for the sale of surplus renewable energy generated on-site at multi-unit/multi-tenanted residential and commercial developments and at homes and businesses connected to microgrids and the distribution network. The company planned to begin the trials in late August, which will be conducted in conjunction with National Lifestyle Villages. The eight week trial will involve 10 households and about 20 people at NLV’s Busselton Lifestyle Village, on the Western Power network.",Seed,"35,000,000",Decentralized Energy,2016,Australia,Distant
Lumenaza,https://lumenaza.de,"Lumenaza develops and operates a software-as-a-services (SaaS) platform for buying and selling renewable electricity. The Lumenaza software platform connects and controls providers and consumers of renewable energy and ensures an efficient and streamlined billing. It signed contracts with utilities and new players in the electricity market. It has a partnership with SIV.AG, a leading provider of billing Software which gives access to 300 utilities in Europe.",Series A,"2,888,770",Decentralized Energy,2013,Germany,Distant
ELONCITY,https://eloncity.io,"Eloncity is a provider of microgrid solutions enabled with distributed energy generation systems. Features include blockchain-based trade system with AI algorithms, smart energy storage systems, and constant availability. The energy is produced locally and is exchanged between the individual parts of the microgrid and stored via battery systems.",Series A,"20,000,000",Decentralized Energy,2017,USA,Distant
Blue Print Power,https://blueprintpower.com,"Blueprint Power is an NYC-based tech company whose mission is to accelerate the growth and financial sustainability of distributed, intelligent clean energy by helping regional groups of real estate companies transform their portfolios into power plants. More specifically, it manages these power plants to generate excess supply that they can then sell to markets and customers who increasingly need more and higher quality supply of electricity. ",Series A,"4,000,000",Decentralized Energy,2017,USA,Distant
Zoox,https://zoox.com,"Zoox is an autonomous mobility company developing fully autonomous electric vehicle and the supporting ecosystem required to bring the technology to market at scale. It focuses on robotics, machine learning, and design and aims to provide mobility-as-a-service primarily aimed at urban environment. Tim Kentley-Klay and Jesse Levinson, an engineer who formerly led Stanford University’s self-driving car program are its founders. It was granted a license to test its autonomous vehicles in California in March 2016. Zoox is one of the 12 firms approved by the State Department of Motor Vehicles (as on mid-2016) to test driverless cars on public roads. It has Laurie Yoler, former president at Qualcomm Labs and Dan Cooperman, former General Counsel for Apple and Oracle as its Board members. In mid-2016, Zoox raised $200M at a billion dollar valuation making it a unicorn. It saw investments from AID Partners, Lux Capital, DFJ amongst others.",Series B,"800,000,000",Electric Future,2013,USA,Distant
StoreDot,https://store-dot.com,"StoreDot is a leader in the innovation of materials and their device applications, developing ground-breaking technologies based on a unique methodology for the design, synthesis and tuning of new organic compounds. These proprietary compounds dramatically improve the performance of a range of devices, including batteries, displays, sensors and digital memory StoreDot’s technology can be optimized for multiple industries, including fast-charging batteries for mobile devices and electric vehicles.",Series C,"146,000,000",Electric Future,2012,Israel,Distant
Driivz,https://driivz.com,"Driivz focuses on providing electric vehicle charging management platform. The company offers a cloud-based software platform for operations management, grid management, user management, public and workplace charging management including billing services. The company offers the product to the public charging infrastructure managers. The company has offices in Israel and US.",Series A,"12,000,000",Electric Future,2012,Israel,Distant
sPower,https://spower.com,"sPower owns, develops, manages and operates solar projects. The company has 150+ operating projects in the US and UK and mainly focuses on utility scale projects of solar wind and other renewable energy. As of Nov 2015 according to the company website sPower has more than 1.7GW of projects in pipeline or under construction.",Acquired,"3,045,630",Decarbonization,2012,USA,Existing
Kite Power Solutions,https://kps.energy,Kite Power Systems is developing a low-cost solution to harness energy from the wind using kites. Has received funding from the UK Department of Energy and Climate Change (DECC) Energy Entrepreneurs Fund (EEF) and other private sector funders. Claims to generate power at a lower Levelized Cost of Energy than any other conventional wind and other renewables along with low O&M cost and higher availability.,Series A,"6,341,750",Decarbonization,2011,England,Distant
SunFunder,https://sunfunder.com,"SunFunder is solar finance business based in San Francisco and Tanzania that connects investors to high-impact solar projects that improve the lives of low-income communities in Africa, Asia and Latin America. Raises and aggregates capital to finance solar projects from both non-accredited investors on their web platform sunfunders.com and directly from accredited and institutional investors through our Solar Empowerment Fund (SEF) note issuances. Their focus is on providing short-term, working capital and project finance loans for solar lighting, phone charging, micro-grids and commercial solar projects. Was incubated in Better Ventures. Since 2012, SunFunder has launched 9 solar customer relationships, facilitated over $414,000 of loans with a 100% repayment rate and impacted 105,000 people with affordable solar energy.",Series B,"28,820,000",Decentralized Energy,2012,USA,Emerging
SkySpecs,https://skyspecs.com,"SkySpecs develops unmanned aerial vehicles for general purpose aerial data collection and infrastructure inspections for hard-to-reach structures, such as bridges and tall wind turbines. With a SkySpecs UAV, an inspector will arrive at a job site, equip the vehicle with a variety of sensors, and then hand-deploy it. During the inspection, they will provide high-level commands to inspect the structure, while advanced artificial intelligence handles complex tasks such as obstacle avoidance, stabilization, and three-dimensional localization. Once the inspection is complete, the data can be downloaded and reviewed later by the inspector. SkySpecs couples the hardware with an analytics dashboard to interpret and map the massive amount of data gathered during flight. As of 2017, it claims to be the only company that has completed 3,600 turbine inspections at over 70 wind farms in the U.S. and Europe.",Series B,"12,978,946",Decentralized Energy,2012,USA,Distant
The Sun Exchange,https://thesunexchange.com,"The Sun Exchange is a peer-to-peer lending platform that connects people wanting to invest in solar energy with people that want to access it. Through it, people can crowd-lend their money so that community centers, schools, businesses, factories and even whole neighborhoods can achieve their goals of going solar and reducing running costs. The Sun Exchange hosts solar projects worldwide, so individuals can choose from a portfolio of investments.",Seed,"2,160,000",Decentralized Energy,2014,South Africa,Emerging
United Wind,https://unitedwind.com,United Wind offers wind lease where the company leases out turbines and the customer pays for its monthly rent and electricity bill. The company offers installation services and operation and maintenance for wind turbines. They set up small scale wind turbine projects in rural areas and the power thus generated is either plugged into the grid or is used by the users.,Series B,"209,000,000",Decarbonization,2013,USA,Emerging
Off Grid Electric,https://offgrid-electric.com,"Off-Grid Electric designs, manufactures, installs and sells solar backed systems for homes mainly in the rural and off-grid areas in the countries of Tanzania and Rwanda. The company enables customers with pay-as-you-go service where money can be paid using mobile banking services like M-Pesa and has partnered with IFC, Power Africa, USAID etc.",Series D,"113,000,000",Decarbonization,2011,Tanzania,Distant
BrightCurrent,https://brightcurrent.com,Leading direct sales marketplace for home solar and other clean energy services.,Acquired,"1,600,000",Decarbonization,2012,USA,Existing
Black Rock Tidal Power,https://blackrocktidalpower.com,"Black Rock Tidal Power deliver cost-effective, turn-key solutions for in-stream tidal power generation. Their services cover the range of site-specific platform designs and corresponding installation procedures to project management, manufacturing, and commissioning of devices. It specializes in the development and implementation of semi-submerged TRITON platforms developed by TidalStream, that carry a multitude of SCHOTTEL Instream turbines (SIT). It has partnered with Aecon for installing a tidal energy project in Nova Scotia.",Series B,"8,109,999",Decentralized Energy,2013,Canada,Distant
Kingo,https://kingoenergy.com,"Kingo is a renewable energy services company that provides pre-paid solar power based solutions to rural communities without access to an electricity grid. The company claims that the users of their prepaid product can connect 3 light bulbs and 1 cell phone to the system at any one time.  On average, this system provides 5 hours of light, as well as enough charge for two cell phones daily. Additionally their technology is designed and manufactured to withstand rural living conditions where dust, heat, insects, rodents and moisture are all factors in need of consideration.",Series B,"19,000,000",Decarbonization,2013,Guatemala,Existing
Bboxx,https://bboxx.co.uk,"BBOXX (a spin-off from a student-led charity at Imperial College London ) engineers, manufactures, finances and sells plug & play solar systems. These installed solar systems can be controlled and monitored remotely. The company also offers different consumer goods which are compatible to be charged by the solar system like shaver, radio, TV, etc.",Series C,"39,900,000",Decarbonization,2010,England,Distant
Dividend Solar,https://dividendfinance.com,Leading financing platform supporting investment in energy-efficiency and sustainable real-property improvement.,Acquired,"364,500,000",Decentralized Energy,2013,USA,Existing
Nippon Renewable Energy,https://venaenergy.com,Nippon Renewable Energy is a solar energy developer and is headquartered in Tokyo. NRE manages and operates solar power facilities from the development and construction stages through to the operational stage.,Acquired,"250,000,000",Decarbonization,2013,Singapore,Existing
Pegasus Solar,https://pegasussolar.com,"Pegasus Solar manufactures solar racking structures and commercialized it by the name 'LightSpeed' which are rail-free solar mounts. These racking systems do not have the rail, on which the solar panels usually rest, thus significantly reduces the logistics cost, cost of installation and installation time for residential solar systems.",Series A,"17,285,725",Decentralized Energy,2012,USA,Existing
LevelTen Energy,https://leveltenenergy.com,"LevelTen Energy offers a renewable energy transaction platform connecting C&I power buyers to PPAs from utility-scale wind, solar, and storage projects by removing risk, reducing complexity, and deploying sharper analytics. LevelTen's next-generation PPA product enables customers of various sizes to access the financial security of fixed-price renewables, economic benefits of at-scale projects, portfolio advantages of geographic and resource diversity and sophisticated analysis of respected wholesale market experts.",Series A,"6,790,119",Decentralized Energy,2016,USA,Distant
Freyr Energy,https://freyrenergy.com,"Freyr Energy provides solar system installation services for homeowners, businesses & communities. Claims to have developed 1k+ solar installations. Specializes in solar rooftop PV systems, microgrids, petrol pumps and water pumps. Developed 900+ solar PV projects from 1kW to 500kW +. Projects include a 100kW grid-tied system for a college, a 25W grid-tied system for a hotel, a 6.5kW off-grid solar system for a fuel station and many others. Also provides the Freyr SunPro solar monitoring app.",Series A,"4,394,020",Decarbonization,2014,India,Existing
QD Solar,https://qdsolarinc.com,QD Solar manufactures photovoltaic cells using colloidal quantum dot technology. Its thin film sheet integrated into conventional silicon solar panels claims to have the potential to increase the energy output of solar panels by 20%. The company is planning an organic growth by developing quantum dot-based solar material for any flexible surface to generate energy.,Series A,"1,910,000",Decentralized Energy,2014,Canada,Distant
