Company Name,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Year Founded,Country,Maturity
Waypoint Building,https://waypointbuilding.com,SaaS platform to integrate buildings with utility,Unfunded,,Connected Buildings,2009,USA,Emerging
Zuli,https://zuli.io,Control and monitor lights and appliances from your smartphone using Bluetooth Low Energy.,Seed,"1,650,000",Smart Homes,2012,USA,Existing
BeeBryte,https://beebryte.com,"BeeBryte offers a cloud-based Software-as-a-Service to controlreal-time both batteries and select electric equipment - water heater, HVAC etc in order to time-shift electricity purchase and energy use and benefit from the cheapest tariff. This load balancing technique is used to shift manageable loads and use batteries as energy buffers to minimize energy costs without affecting occupants’ comfort, and maximize self-consumption from onsite generation.",Series A,"2,950,000",Connected Buildings,2015,France,Distant
limejump,https://limejump.com,Limejump is a demand response company which enable small energy suppliers or ‘small-scale distributed generators to manage their peak load. They partner with companies and organisations that have their own backup or supplementary powers generators to take part in National Grid’s demand– response programmes. Their Virtual Power Plant platform is connected to a company’s machinery and other energy intensive infrastructure to enable demand response.,Series A,"6,075,860",Decentralized Energy,2013,England,Distant
Drift,https://joindrift.com,"Drift beta app helps in buying and selling energy. The user has to connect electric utility account, solar monitoring or other smart energy devices to Drift. And based on the availability drift will let the customer know in buying and selling the energy.",Series A,"10,000,000",Decentralized Energy,2015,USA,Distant
SparkCharge,https://sparkcharge.io,Portable fast charging points for electric vehicle owners,Seed,"620,000",Electric Future,2014,USA,Emerging
Signet EV,https://signetev.com,Manufacturer and supplier of EV charging terminals,Seed,,Electric Future,2016,South Korea,Existing
ZoneCharge Wireless Power Supply Technology,https://zonecharge.com,Developer of wireless charging for electric vehicles,Seed,"30,000,000",Electric Future,2015,China,Emerging
Light Hou,https://electric-cars.cn,Developer of charging stands for electric cars,Seed,"407,780",Electric Future,2011,China,Existing
ChargeX,https://chargex.de,Smart power strip to connect multiple electric vehicles to a single charging station,Seed,,Electric Future,2017,Germany,Distant
Cloudcharge,https://cloudcharge.se,Developer of software solutions for charging point billing management,Acquired,,Electric Future,2014,Sweden,Distant
EcoG,https://ecog.io,"Cloud-based solution to enable charging control, shared revenue streams and value-added services in electric vehicle fast charging",Seed,"20,000",Electric Future,2017,Germany,Emerging
EVNEX,https://evnex.com,Solutions for integrating EV charging with smart grid,Seed,,Electric Future,2014,New Zealand,Emerging
Blue Inductive,https://blue-inductive.de,Industrial and Automotive Wireless charging solution developer,Seed,,Electric Future,2015,Germany,Distant
PowerFlex Systems,https://powerflexsystems.com,Adaptive EV charging network for demand response,Seed,,Electric Future,2015,USA,Emerging
Geo-Line,https://geo-line.com,Mobile charging-payment solution for electric vehicles,Seed,,Electric Future,2014,South Korea,Emerging
EVgo,https://evgo.com,Electric vehicle charging network,Acquired,,Electric Future,2010,USA,Existing
Freshmile Services,https://freshmile.com,EV charging network operator and service provider,Seed,"2,000,000",Electric Future,2016,France,Existing
HaloIPT,https://haloipt.com,Electric vehicle wireless charging technology,Acquired,,Electric Future,2010,New Zealand,Emerging
Engenie,https://engenie.co.uk,Infrastructure for electric vehicle charging,Series B,"1,990,000",Electric Future,2011,England,Emerging
ENIO,https://enio-management.com,SaaS based solution for managing EV charging stations and its services,Seed,,Electric Future,2013,Austria,Emerging
IPT Technology,https://ipt-technology.com,Inductive power transfer technology to wirelessly charge electric vehicles,Seed,,Electric Future,2014,Germany,Distant
PlugSurfing,https://plugsurfing.com,App to connect electric car drivers to charging station owners,Acquired,,Electric Future,2012,Germany,Existing
ELIX Wireless,https://elixwireless.com,Wireless power transfer technology for electric vehicle charging,Series A,"5,000,000",Electric Future,2013,Canada,Emerging
Cohere,https://cohere.eu,Smart charging solutions for electric vehicles,Seed,"337,480",Electric Future,2011,Netherlands,Existing
TEQ Charging,https://teqcharging.com,Smart electric vehicle charging mechanism,Seed,"190,000",Electric Future,2015,USA,Existing
Clean Power Hydrogen,https://cph2.com,Developer of hydrogen based energy storage system,Seed,"585,610",Electric Future,2016,England,Distant
Ivy Energy Solutions,https://ivysinc.com,Onsite hydrogen generation system developer,Seed,,Electric Future,2014,USA,Distant
Qualisteo,https://qualisteo.com,"Qualisteo provides Wattseeker, a software tool that monitors appliances of whole building and itemize electrical consumption by usage, equipment, and zone. Wattseeker is made of a unique metering system linked to intelligent sensors, allowing a multi-fluid cartography itemised by areas, usages and appliances installed at the electricity mains panelboard. As per the company claims there will be 30% energy savings using their system.",Series B,"3,300,000",Energy & Data Management,2010,France,Existing
I-Ten,https://i-ten.fr,I-TEN SA manufactures and markets micro batteries. The technology was developed in collaboration with the ENS Lyon and the Interdisciplinary Laboratory Carnot de Bourgogne. These thin film micro batteries store in the same space 10 times more energy than competing technologies. They come in SMD modules and can be integrated on PCBs or electronic cards like any other passive devices. Comes in dimensions of one to five cubic millimeters for capacities between 100 and 1000 micro Ampere hours. Planning to create batteries with 800 Watt-hours per liter (Wh / L) ultra-high density.,Series B,"15,300,000",Decentralized Energy,2011,France,Distant
Fresh Energy,https://fresh-energy.org,"Fresh Energy is an energy monitoring application for homes to understand energy consumption of an individual appliance. It installs third party meters and analyzes electricity consumption data using complex algorithms, pattern recognition, and machine learning using disaggregation techniques. The software displays devices distinguished by the consumption data by analyzing the electrical signatures. It can recognize water heater, refrigerator, stove, washer, dryer, dishwasher and your lighting (as a whole)",Seed,"3,525,450",Smart Homes,2017,Germany,Emerging
Nest,https://nest.com,"Nest Labs is the creator of the world’s first Learning Thermostat Nest Labs has two products - Nest Learning Thermostat for energy efficiency and savings at home. Open to developers.; Nest Protect, a better smoke and carbon monoxide detector. 100 patents granted, 200 filed, and 200 more ready to file. ex-Apple-iPod founding team. Acquired by Google for $3.2B in Jan 2014. Started the Nest Developer program for third party applications and development.",Acquired,"80,000,000",Smart Homes,2010,USA,Emerging
Next Energy,https://nextenergy.tech,"Next Energy Technologies develops Building Interactive solar panels that are transparent and can be coated on regular windows to help generate electricity. It's transparent photovoltaic nano-coating cost-effectively transforms windows into electricity producing assets by converting UV & IR light into electricity, allowing buildings to produce on-site renewable energy.",Series B,"10,050,000",Decarbonization,2010,USA,Distant
TrackNet,https://tracknet.io,"TrackNet provides LoRAWAN based end-to-end solutions to enable industrial and consumer applications. These solutions include sensors, gateways, and apps. Claims to be optimized for battery lifetime, scalability, and low cost of the end-devices to enable volume deployments. Finds application in areas like agriculture, supply chain, asset tracking, intelligent building, smart city, smart metering, and smart home.",Series A,"7,000,000",Smart Homes,2016,USA,Distant
Sentient Energy,https://sentient-energy.com,"Sentient Energy offers the substation-class, cost-effective line monitor/sensors and analytics that utilities can quickly deploy anywhere along the distribution grid, enabling them to find faults, cut costs and prevent hazards.They are deployed on top of utility Advanced Metering Infrastructure (AMI) or Distribution Automation (DA) communications networks. Landys+Gyr and Silver Spring Networks mesh network have deployed sentient energy line sensors.",Series A,"22,500,000",Asset Health & Optimization ,2009,USA,Emerging
GridEdge Networks,https://gridedgenetworks.com,"Grid Edge networks formerly known as Amperion, provides smart grid communications solutions using a single IP based network to electric utilities. The company develops broadband over powerline and wireless solutions for smart grid applications on medium voltage distribution lines and high voltage transmission lines. It provides two-way broadband communications solutions that support multiple smart grid applications over transmission and distribution circuits.",Series C,"2,900,000",Asset Health & Optimization ,2013,USA,Existing
Sympower,https://sympower.net,"Sympower helps by switching on and off together large numbers of electric heating, air conditioning and hot water appliances for demand management Their smart controller learns user preferences and makes sure the needs of the household are met in the optimal way.",Seed,"1,195,760",Decentralized Energy,2015,Estonia,Existing
PingThings,https://pingthings.io,"PingThings offers predictive intelligence solutions to the electric utility industry by combing predictive analytics, sensor data built on a platform to optimize asset health, minimize environmental disruption and improve grid stability. The platform identifies and mitigates risks from both natural and man-made events such as solar storms and transformer fails that can severely disrupt and damage electrical systems. It was recognized as a top 20 early stage startup at the Siemens New Venture Forum in 2014.",Seed,"2,400,000",Asset Health & Optimization ,2014,USA,Existing
Cpower,https://cpowerenergymanagement.com,"CPower (fka ConsumerPowerline) delivers energy management services and solutions that enable utilities and grid operators to manage peak demand while enabling commercial facility owners and operators, industrial businesses, retailers, and institutions to optimize their facilities and operations through strategic and energy reduction initiatives in North America and the England. Currently, it is one of the largest companies offering demand response services and serves more than 1,000 commercial and industrial customers at thousands of sites within the U.S.",Acquired,,Asset Health & Optimization ,2014,USA,Existing
eCurv,https://ecurv.com,"eCurv provides a cloud-based machine-to-machine (M2M) network, building controllers, and sensor networks aimed at monitoring and reducing electricity demand. Through its patented Queued Power Access Control (QPAC) system, eCurv optimizes the duty cycles of electrical loads such as heating, ventilation, refrigeration and air conditioning (HVAC) equipment, pumps, motors, and battery chargers. QPAC is delivered as a fully integrated solution or overlaid with existing building automation and energy efficiency systems.",Series A,"9,946,607",Asset Health & Optimization ,2011,USA,Emerging
Origami Energy,https://origamienergy.com,"Origami develops and provides a software-as-a-service (SaaS) marketplace platform which manages the flow of energy and capacity between physical sites with power generation, energy demand and electricity storage allowing renewable energy generators, storage providers and energy users to trade with each other at a micro-grid level and maximize the value of their assets.",Series B,"51,280,900",Decentralized Energy,2013,England,Emerging
Ambri,https://ambri.com,"Ambri (formerly Liquid Metal Battery Corporation (LMBC)) develops and commercializes a new technology of liquid metal battery that costs significantly less than existing batteries.  By decoupling power supply and power demand, the liquid metal battery will enable a widespread use of sustainable energy sources and the development of more efficient power systems.",Series C,"50,000,000",Decentralized Energy,2010,USA,Emerging
envelio,https://envelio.de,"Envelio is a platform provider for the integration of renewable generation and electromobility. The solution is provided to network providers, for the automated planning and management of power grids. Functions carried out include improving efficiency through automated recommendations for action and data analyzes which it achieves with the use of artificial intelligence and optimization techniques.",Seed,"1,165,900",Decentralized Energy,2017,Germany,Distant
Restore,https://restore.energy/en,"REstore provides automated demand response program solutions to utilities and industries. Allows utilities to deploy Demand Response programmes across their C&I customers through its platform 'FlexPond' with the real-time balancing feature. Industry players can subscribe to the platform and participate the demand response programmes initiated by utilities. Claims that it manages a portfolio of over 1,7 GW of peak flexible load in UK, France, Germany, and Benelux, as of Mar'18. Clientele list includes National Grid, Arcelor Mittal, Amprion, Tereos among others.",Acquired,"11,948,180",Asset Health & Optimization ,2010,Belgium,Existing
Packetized Energy,https://packetizedenergy.com,"Building virtual batteries from connected things, Packetized Energy makes electricity flexible with virtual battery software for utilities so electricity can be clean, affordable, and easy to use. Claims that utilities can easily manage virtual batteries built from connected devices to unlock $200/year/device or more from these services: Ancillary services; Avoided generation capacity; Wholesale energy arbitrage; Avoided transmission and distribution capital",Unfunded,,Decentralized Energy,2016,USA,Distant
Greenbird,https://greenbird.com,"Greenbird Integration Technology provides Metercloud, a hybrid cloud platform for big data integration applications empowering the smart grid, smart city and the industrial IoT. Metercloud is targeting enterprise customers such as utilities, municipalities or process oriented industries who utilize a network of connected things to gain operational excellence, process intelligence and resource efficiency. Provides the pipelines and integration engine to transport data, refine it, distribute it and monetize it",Series A,"5,000,000",Asset Health & Optimization ,2010,Norway,Emerging
3DSignals,https://3dsig.com,Provides ultrasonic acoustic sensor technology to predict electro-mechanical failure,Seed,"3,000,000",Asset Health & Optimization ,2015,Israel,Emerging
Alluvium,https://alluvium.io,Machine Intelligence Platform for industries,Series A,"2,500,000",Asset Health & Optimization ,2015,USA,Emerging
Arundo,https://arundo.com,Bigdata analytics for asset heavy industries,Series A,"32,600,000",Asset Health & Optimization ,2015,USA,Emerging
Flutura,https://flutura.com,IoT based big data analytics for engineering industries,Series A,"10,000,000",Data Aggregation & Analytics,2012,India,Emerging
Indalyz Monitoring Prognostics,https://imprognostics.com,Predictive maintenance solution for multi-industry purpose,Seed,"50,000",Asset Health & Optimization ,2014,Germany,Existing
Infinite Uptime,https://infinite-uptime.com,"A Global Industrial IoT Solution Provider For Improved Quality, Productivity, Monitoring And Predictive Maintenance In The Engineering And Processing Industries.",Seed,"4,000,000",Asset Health & Optimization ,2016,USA,Existing
Logmind,https://logmind.com,Big data analytics platform for unstructured data,Series A,,Data Aggregation & Analytics,2018,Switzerland,Distant
Movus,https://movus.com.au,IoT enabled predictive maintenance solution for multiple industries,Series A,"4,800,000",Asset Health & Optimization ,2014,Australia,Existing
Neuron soundware,https://neuronsw.com,"Intelligent audio analysis Software for Predidctive maintenance, anomaly detection, and equipment diagnostics",Series A,"16,000,000",Asset Health & Optimization ,2016,Czech Republic,Distant
OtoSense,https://otosense.com,Software that turns machine sound and vibration into actionable meaning,Seed,"370,000",Asset Health & Optimization ,2014,England,Existing
Petasense,https://petasense.com,"Makes ready-to-deploy, intelligent, wireless sensors",Seed,"3,630,000",Asset Health & Optimization ,2014,USA,Existing
Presenso,https://presenso.com,AI Driven Industrial Analytics,Seed,"2,000,000",Asset Health & Optimization ,2015,Israel,Emerging
Semiotic Labs,https://semioticlabs.com,Predictive maintenance solution for industries,Seed,"632,000",Asset Health & Optimization ,2015,Netherlands,Emerging
Sight Machine,https://sightmachine.com,"Sight Machine enables companies to gain real-time visibility and actionable insights for every part, batch, machine, line, and plant throughout a manufacturing enterprise",Series C,"56,100,000",Asset Health & Optimization ,2012,USA,Existing
Tellmeplus,https://tellmeplus.com,Artificial Intelligence at the Edge for Asset & Process Efficiency,Seed,"4,700,000",Asset Health & Optimization ,2011,France,Distant
Tulip,https://tulip.co,Digitalized Manufacturing System,Series A,"13,000,000",Asset Health & Optimization ,2014,USA,Emerging
Sparkcognition,https://sparkcognition.com,"SparkCognition is a Cognitive Security Analytics company. Applying Machine Learning & AI to Cloud Security and the Internet of Things. The platform is built on patent-pending Pattern Recognition & Machine Learning techniques that enable unparalleled Cognitive capability. When exposed to security data, it finds patterns of attack, identifies vectors, models attacker behavior and much more. Because it’s Cloud-Born, SparkCognition's platform aggregates its learning at a faster pace than any human or legacy software system. It not only gains more experience, it actually increases its intelligence and capability.",Series B,"62,880,000",Energy & Data Management,2013,USA,Distant
Dover Microsystems,https://dovermicrosystems.com,"Dover Microsystems provides a hardware-based embeddable security solution for the organizations. The product CoreGuard enforces updatable security policies to protect processors and embedded systems against cyber attacks. Focused on multiple vertical industries like semiconductor, automotive, medical, connected home energy, and point of sale (PoS) for retail.",Seed,"6,000,000",Energy & Data Management,2017,USA,Existing
Aperio System,https://aperio-systems.com,"Aperio provides security soultions for industrial critical control systems. Aperio system immediately detects any artificial manipulations of process data, enabling operators to take relevant corrective action in real-time. Its data forgery protection technology uses machine learning technology, which can be integrated into existing monitoring systems for external as well as internal malicious activity monitoring. Company provides services mainly for power plants.",Seed,"4,500,000",Energy & Data Management,2016,Israel,Distant
Anomali,https://anomali.com,"Anomali (previously known as ThreatStream) is a SaaS provider of cyber threat intelligence. Their products focus around mining, normalization, integration and validation of threat data. By creating an open API, it validates and scores any threat data into actionable intelligence that can be consumed by a enterprise risk and threat management platforms such as HP ArcSight, IBM Q1, Nitro Security SIEM and RSA Archer. The powerful combination of SIEM and Its threat intelligence enables correlation abilities organization wide of bad actor transactions with vulnerability data and assets.",Series D,"96,300,000",Energy & Data Management,2012,USA,Emerging
Voltaware,https://voltaware.com,"Voltaware offers energy monitors for homes to understand the consumption of various appliances through NIALM technique. The Voltaware sensor is installed onto fuse box and fetches the data about the energy usage. After installation, it will take 10 days to read all the appliances using disaggregation algorithm.",Series A,"3,321,910",Smart Homes,2014,England,Emerging
LifeBooster,https://lifebooster.ca,Wearable device to predict and prevent accidents in the workplace,Seed,,Connected Workforce,2011,Canada,Emerging
SafeInCity,https://safeincity.com,IoT based wearable safety solutions for enterprises,Unfunded,,Connected Workforce,2015,India,Existing
CYRNSOS,https://cyrnsos.com,Wearable emergency help button for mobile workforce,Unfunded,,Connected Workforce,2018,USA,Existing
WheribleGPS,https://wheribleiot.com,Provider of GPS enabled solution to track location and movement of assets and workforce,Seed,"25,000",Connected Workforce,2017,USA,Existing
GLARTEK,https://glartek.com,IoT platform for visualizing data in real time using AR-enabled apps and devices.,Seed,"1,704,350",Connected Workforce,2016,Portugal,Emerging
SafetyLinker,https://safetylinker.com,Smart helmet for monitoring field workers,Unfunded,,Connected Workforce,2017,Turkey,Existing
WakeCap,https://wakecap.com,Smart helmet to detect drowsiness and fatigue in field workers,Seed,"2,000,000",Connected Workforce,2015,Qatar,Existing
Modjoul,https://modjoul.com,Connected belt for workforce safety,Seed,"2,307,780",Connected Workforce,2016,USA,Existing
Cygnus Wearable,https://cygnuswearable.com,Wearable solution for monitoring and improving efficiency of industrial workers,Unfunded,,Connected Workforce,2017,Japan,Emerging
Intellinium,https://intellinium.io,Connected shoes for workforce safety in industrial applications,Unfunded,,Connected Workforce,2009,France,Existing
Atheer,https://atheerair.com,Provides 3D Augmented Reality platform for enterprises,Series C,"36,828,066",Connected Workforce,2011,USA,Distant
Daqri,https://daqri.com,Tool for designing AR projects & Smart helmet for industrial environments,Series A,"275,000,000",Connected Workforce,2010,USA,Distant
Evolar,https://smartpick.be,Smartglasses for faster picking and sorting in warehouses,Unfunded,,Connected Workforce,2014,Belgium,Distant
Commit Works,https://commit.works,Workforce planning and scheduling solution for industrial sector,Seed,,Connected Workforce,2012,Australia,Existing
Skedulo,https://skedulo.com,Field workforce management software,Series A,"11,000,000",Connected Workforce,2013,England,Existing
Blue Dolph,https://bluedolph.in,"Web, mobile and cloud solution to manage remote task force",Seed,"1,614,023",Connected Workforce,2012,India,Existing
Boomr,https://boomr.com,Real-time attendance management through a mobile app,Seed,"120,000",Connected Workforce,2011,USA,Existing
CrossLead,https://crosslead.com,Cloud based platform for organizational effectiveness,Seed,"350,000",Connected Workforce,2016,USA,Existing
Fissara,https://fissara.com,Total mobile work-force operation management,Unfunded,,Connected Workforce,2015,England,Existing
OpenTempo,https://opentempo.com,Cloud-based workforce management and staff scheduling solutions,Series A,"3,500,000",Connected Workforce,2013,USA,Existing
Repsly,https://repsly.com,Cloud Solution for Field Activity Management,Seed,"4,769,999",Connected Workforce,2010,USA,Emerging
Mysphera,https://mysphera.com,"Provides a platform that provides identification, location, and tracking of patients and assets in the hospital using IoT solutions",Seed,,Connected Workforce,2012,Spain,Existing
Seeq,https://seeq.com,Industrial data analytics,Series B,"61,578,191",Asset Health & Optimization ,2013,USA,Existing
IndoorAtlas,https://indooratlas.com,Indoor Positioning System to locate objects and people inside buildings,Series B,"22,443,882",Connected Workforce,2012,Finland,Existing
Redpoint Positioning,https://redpointpositioning.com,"High accuracy, low cost, indoor RTLS system",Series A,"2,400,000",Connected Workforce,2010,USA,Existing
Uptake,https://uptake.com,Machine learning enabled predictive platform for multiple industries,Series D,"252,000,000",Asset Health & Optimization ,2014,USA,Emerging
When I Work,https://wheniwork.com,Mobile workforce management platform,Series B,"24,000,000",Connected Workforce,2010,Canada,Existing
SMS Assist,https://smsassist.com,Multisite property management technology and service provider,Series D,"255,000,000",Connected Workforce,2010,USA,Existing
Recogizer,https://recogizer.com,Predictive analytics solutions for building automation and industry 4.0 applications,Unfunded,,Asset Health & Optimization ,2014,Germany,Existing